version,question_id,precision,recall,f1_score,cosine_similarity,bleu_score,rouge_1_f1,rouge_2_f1,rouge_l_f1
1,5.5,0.7109090909090909,0.1973320405647992,0.30573920026798235,0.45184164271501875,0.3116361779426695,0.4860169392011497,0.24541275149970804,0.4825081672713251
2,5.5,0.5422222222222223,0.14344735217816418,0.221213242890063,0.34282254657828604,0.19741324071070576,0.38589487871625433,0.11743230625583567,0.3829963279916167
3,5.5,0.8300000000000001,0.24982260938295422,0.3770241665522583,0.5335377728975456,0.3301075190315911,0.5546969625209182,0.3766274466274466,0.5441087272268005
4,5.5,0.8300000000000001,0.24982260938295422,0.3770241665522583,0.5335377728975456,0.3301075190315911,0.5546969625209182,0.3766274466274466,0.5441087272268005
5,5.5,0.8300000000000001,0.24982260938295422,0.3770241665522583,0.5335377728975456,0.3301075190315911,0.5546969625209182,0.3766274466274466,0.5441087272268005
6,5.5,0.6209523809523809,0.14359530316426866,0.23088730237718877,0.419714910662026,0.2395439628744457,0.4444468494468494,0.16122710622710623,0.4277801827801827
7,5.5,0.26916666666666667,0.08897047723792886,0.1323533085204706,0.14186206312876612,0.026534785024845454,0.15056717034977904,0.024444444444444442,0.14173976587020065
8,5.5,0.3401806526806527,0.10303313273501229,0.15690625676995834,0.11330946101364855,0.05274013011472234,0.1802778516652756,0.080352733686067,0.15007971263955033
9,5.5,0.24642857142857139,0.06102379694953669,0.09758157972443685,0.10755148890150637,0.049115416022308275,0.1719513620792393,0.06,0.14414438644617672
10,5.5,0.15,0.026181225395996172,0.04187562562562561,0.03377236919472345,0.00435781098238851,0.07523858702301725,0.01555555555555555,0.0617983668489261
11,5.5,0.23547619047619048,0.038372997038987326,0.06069056069056068,0.05976604494894992,0.012750446294359796,0.09953748911953243,0.02666666666666666,0.0882509394119301
12,5.5,0.1925,0.04292006666846203,0.06983973145016512,0.02425669813123394,0.010809902062740889,0.08457985653637827,0.006666666666666659,0.06908578539013319
