version,question_id,precision,recall,f1_score,cosine_similarity,bleu_score,rouge_1_f1,rouge_2_f1,rouge_l_f1
1,5.5,0.8075757575757576,0.24176394582429062,0.36933533047492484,0.5105774272386003,0.3417242838097521,0.5198640895306664,0.3097015182884748,0.5166894863560633
2,5.5,0.6066666666666667,0.14372207745288945,0.2280511808079448,0.3682368994075397,0.2279484402634615,0.39716471998609565,0.11568627450980391,0.39426616926145797
3,5.5,0.6571428571428571,0.21771470340004823,0.31316626316626317,0.36974518680251806,0.231990468169176,0.42444689463978735,0.2365801759300211,0.4120159182088109
4,5.5,0.6571428571428571,0.21771470340004823,0.31316626316626317,0.36974518680251806,0.231990468169176,0.42444689463978735,0.2365801759300211,0.4120159182088109
5,5.5,0.6571428571428571,0.21771470340004823,0.31316626316626317,0.36974518680251806,0.231990468169176,0.42444689463978735,0.2365801759300211,0.4120159182088109
6,5.5,0.6909090909090909,0.17512691235967096,0.2755624991714186,0.38533943644399604,0.2035665371829503,0.4108821198294882,0.23220090934924692,0.39088211982948823
7,5.5,0.37012987012987014,0.09428621275367263,0.14687204171891838,0.1553857643582413,0.025355121151893527,0.17554243716562556,0.040793650793650785,0.16887577049895888
8,5.5,0.5069444444444444,0.141733689325026,0.21801623845095866,0.22277970046143442,0.10021483857181619,0.2842368674814495,0.149017094017094,0.26749083573541776
9,5.5,0.5752380952380952,0.1376644222339803,0.2098519393663032,0.2797298685290105,0.06253110108078797,0.29971863807629484,0.1190643274853801,0.2731722969699958
10,5.5,0.3867857142857143,0.09722028544288264,0.1476520146520146,0.20558773849675824,0.03257279321538358,0.2207966537425458,0.06820956820956821,0.19004855626057734
11,5.5,0.5132142857142857,0.10716588850964015,0.17218055115355016,0.25374732417111523,0.05858522545938588,0.26404171304558305,0.11139959078838535,0.24084171859558853
12,5.5,0.16893939393939394,0.05824692548830478,0.086291404186141,0.11945456332759594,0.01601298445679526,0.10232503558819347,0.01111111111111111,0.10232503558819347
